X,Y,Original Slide label,Static Predicted Probability,Static predicted zone,LITHOLOGY,LULC11_12,LULC15_16,PANCHAYATH_CODE,PANCHAYATH_NAME,HAND,TPI,ASPEC,DRAIN_DEN,NDBI,NDVI,SPI,TRI,TWI,ELEVATION,PLANCU,PROFCU,RRELIEF,GW_IDW,LINEAMENT_DEN,ROAD_DEN,SLOPE,D_RAINFALL,SOIL_T,SOIL_DEPTH,SOIL_TEXTURE,VILLAGE_BLK
77.06929779,9.60931015,1,0.904097,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,7,8,2,3,3,2,5,1,6,5,4,3,1,5,3,6,4,1,Very deep,Clay,85
77.14839935,9.611339569,1,0.9567821,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,5,2,3,4,1,3,1,8,6,5,3,1,3,1,3,5,2,Very deep,Clay,1
76.91770172,9.618519783,1,0.8880482,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,9,2,3,3,4,3,2,6,5,5,4,1,5,2,6,4,1,Very deep,Clay,85
77.16120148,9.621669769,1,0.96434337,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Barren Rocky,1,Marayoor,1,5,5,2,4,3,4,2,3,8,6,5,2,1,2,2,3,5,2,Very deep,Clay,85
77.13809967,9.627679825,0,0.41240013,low,Pink Granite Gneiss,Deciduous Forest - Closed,Deciduous Forest - Closed,1,Marayoor,4,7,5,2,5,2,5,2,1,10,7,3,3,1,3,2,4,5,1,Very deep,Clay,1
77.16369629,9.629300117,1,0.9781215,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,5,5,2,4,3,3,3,1,8,7,5,2,1,2,2,1,5,2,Very deep,Clay,85
77.16290283,9.63269043,1,0.954623,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,4,6,2,1,5,4,2,4,8,8,6,2,1,3,2,6,5,2,Very deep,Clay,85
77.16359711,9.636030197,1,0.98811954,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,5,6,4,2,3,4,5,5,3,7,6,4,2,1,4,1,4,5,2,Very deep,Clay,85
77.16339874,9.637009621,1,0.9818636,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,4,5,5,2,3,4,4,3,2,5,6,5,2,1,5,2,4,5,2,Very deep,Clay,85
77.17079926,9.63778019,1,0.9491184,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,5,2,4,3,2,4,1,3,4,5,2,1,6,1,4,4,2,Very deep,Clay,85
77.16639709,9.64068985,1,0.9636438,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,6,5,2,3,4,3,3,1,4,5,6,2,1,5,2,2,5,2,Very deep,Clay,85
77.0759964,9.645959854,0,0.30767557,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,8,5,2,4,3,3,4,1,2,4,3,3,1,6,2,2,4,1,Very deep,Clay,85
77.09470367,9.648320198,1,0.6359592,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,2,5,2,5,3,5,3,2,4,7,8,2,1,5,3,5,4,1,Very deep,Clay,85
77.09269714,9.662280083,1,0.8681997,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,4,4,2,3,4,5,3,3,3,5,6,3,1,5,2,3,4,1,Very deep,Clay,85
76.87539673,9.738599777,0,0.01457816,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,3,10,1,4,2,5,2,4,2,7,6,3,1,5,3,4,4,1,Very deep,Clay,85
76.87550354,9.738670349,1,0.24090397,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,4,4,1,3,4,4,4,2,3,7,6,4,1,2,2,4,4,1,Very deep,Clay,85
76.87239838,9.74090004,0,0.04275549,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,4,3,1,3,3,5,3,2,3,4,6,3,1,5,3,2,4,1,Very deep,Clay,85
76.86630249,9.750490189,0,0.09445025,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,8,10,1,4,3,1,4,1,6,8,4,3,1,4,3,6,4,1,Very deep,Clay,85
77.13549805,9.753600121,1,0.99321777,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,2,5,4,2,2,4,4,4,2,6,6,5,3,1,4,1,5,5,2,Very deep,Clay,1
76.86329651,9.754170418,1,0.95753706,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,6,7,2,4,2,3,5,2,9,5,5,4,1,1,2,5,4,1,Very deep,Clay,1
76.83640289,9.763759613,0,0.03308574,very low,Pink Granite Gneiss,Barren Rocky,Barren Rocky,1,Marayoor,1,5,4,1,4,3,3,2,2,8,5,6,3,1,1,2,6,4,1,Very deep,Clay,85
